# Time (s)            n_hot (m**-3)       n_e (m**-3)         T_e (ev)            E_par (V/m)         v_c (v_th0)         tau               
  6.250000000000E-04  4.977471428250E+14  1.481395375681E+20  1.183719366571E+02  7.163602511084E-01  2.199494707997E+00  8.200872303126E+00
  6.300000000000E-04  4.853331037411E+14  1.482005307815E+20  1.148190819751E+02  7.191825137652E-01  2.192945450226E+00  8.287197274738E+00
  6.350000000000E-04  4.730860389650E+14  1.482595243996E+20  1.113827037241E+02  7.219766944394E-01  2.186461894232E+00  8.373522246350E+00
  6.400000000000E-04  4.610122790693E+14  1.483165839768E+20  1.080589833523E+02  7.247430725513E-01  2.180043253670E+00  8.459847217962E+00
  6.450000000000E-04  4.491174953989E+14  1.483717729185E+20  1.048442274953E+02  7.274819247411E-01  2.173688765937E+00  8.546172189573E+00
  6.500000000000E-04  4.374067300410E+14  1.484251525516E+20  1.017348638712E+02  7.301935248963E-01  2.167397691723E+00  8.632497161185E+00
  6.550000000000E-04  4.258844254921E+14  1.484767821921E+20  9.872743731177E+01  7.328781441792E-01  2.161169314572E+00  8.718822132797E+00
  6.600000000000E-04  4.145544539289E+14  1.485267192116E+20  9.581860592245E+01  7.355360510538E-01  2.155002940458E+00  8.805147104409E+00
  6.650000000000E-04  4.034201460043E+14  1.485750191010E+20  9.300513736911E+01  7.381675113132E-01  2.148897897359E+00  8.891472076021E+00
  6.700000000000E-04  3.924843190975E+14  1.486217355316E+20  9.028390528613E+01  7.407727881055E-01  2.142853534838E+00  8.977797047633E+00
  6.750000000000E-04  3.817493049573E+14  1.486669204154E+20  8.765188580231E+01  7.433521419606E-01  2.136869223636E+00  9.064122019245E+00
  6.800000000000E-04  3.712169766877E+14  1.487106239626E+20  8.510615418079E+01  7.459058308160E-01  2.130944355257E+00  9.150446990856E+00
  6.850000000000E-04  3.608887750283E+14  1.487528947370E+20  8.264388156894E+01  7.484341100427E-01  2.125078341566E+00  9.236771962468E+00
  6.900000000000E-04  3.507657338971E+14  1.487937797106E+20  8.026233185499E+01  7.509372324708E-01  2.119270614384E+00  9.323096934080E+00
  6.950000000000E-04  3.408485051618E+14  1.488333243154E+20  7.795885862755E+01  7.534154484146E-01  2.113520625077E+00  9.409421905692E+00
  7.000000000000E-04  3.311373826181E+14  1.488715724938E+20  7.573090223495E+01  7.558690056978E-01  2.107827844163E+00  9.495746877304E+00
  7.050000000000E-04  3.216323251566E+14  1.489085667478E+20  7.357598694085E+01  7.582981496781E-01  2.102191760894E+00  9.582071848916E+00
  7.100000000000E-04  3.123329791051E+14  1.489443481859E+20  7.149171817323E+01  7.607031232719E-01  2.096611882858E+00  9.668396820528E+00
  7.150000000000E-04  3.032386997392E+14  1.489789565689E+20  6.947577986345E+01  7.630841669787E-01  2.091087735563E+00  9.754721792139E+00
  7.200000000000E-04  2.943485719561E+14  1.490124303541E+20  6.752593187265E+01  7.654415189047E-01  2.085618862024E+00  9.841046763751E+00
  7.250000000000E-04  2.856614301139E+14  1.490448067382E+20  6.564000750246E+01  7.677754147871E-01  2.080204822344E+00  9.927371735363E+00
  7.300000000000E-04  2.771758770381E+14  1.490761216981E+20  6.381591108732E+01  7.700860880175E-01  2.074845193293E+00  1.001369670697E+01
  7.350000000000E-04  2.688903022029E+14  1.491064100315E+20  6.205161566576E+01  7.723737696651E-01  2.069539567875E+00  1.010002167859E+01
  7.400000000000E-04  2.608028990970E+14  1.491357053952E+20  6.034516072803E+01  7.746386885000E-01  2.064287554894E+00  1.018634665020E+01
  7.450000000000E-04  2.529116817856E+14  1.491640403427E+20  5.869465003750E+01  7.768810710160E-01  2.059088778511E+00  1.027267162181E+01
  7.500000000000E-04  2.452145006820E+14  1.491914463601E+20  5.709824952361E+01  7.791011414531E-01  2.053942877793E+00  1.035899659342E+01
  7.550000000000E-04  2.377090575455E+14  1.492179539014E+20  5.555418524375E+01  7.812991218202E-01  2.048849506259E+00  1.044532156503E+01
  7.600000000000E-04  2.303929197229E+14  1.492435924221E+20  5.406074141210E+01  7.834752319173E-01  2.043808331404E+00  1.053164653665E+01
  7.650000000000E-04  2.232635336518E+14  1.492683904121E+20  5.261625849295E+01  7.856296893572E-01  2.038819034236E+00  1.061797150826E+01
  7.700000000000E-04  2.163182376451E+14  1.492923754274E+20  5.121913135669E+01  7.877627095873E-01  2.033881308781E+00  1.070429647987E+01
  7.750000000000E-04  2.095542739794E+14  1.493155741202E+20  4.986780749607E+01  7.898745059115E-01  2.028994861593E+00  1.079062145148E+01
  7.800000000000E-04  2.029688003060E+14  1.493380122695E+20  4.856078530112E+01  7.919652895112E-01  2.024159411255E+00  1.087694642309E+01
  7.850000000000E-04  1.965589004089E+14  1.493597148087E+20  4.729661239047E+01  7.940352694665E-01  2.019374687858E+00  1.096327139471E+01
  7.900000000000E-04  1.903215943302E+14  1.493807058541E+20  4.607388399750E+01  7.960846527772E-01  2.014640432485E+00  1.104959636632E+01
  7.950000000000E-04  1.842538478871E+14  1.494010087312E+20  4.489124140930E+01  7.981136443831E-01  2.009956396676E+00  1.113592133793E+01
  8.000000000000E-04  1.783525816020E+14  1.494206460007E+20  4.374737045688E+01  8.001224471853E-01  2.005322341888E+00  1.122224630954E+01
  8.050000000000E-04  1.726146790695E+14  1.494396394840E+20  4.264100005483E+01  8.021112620656E-01  2.000738038941E+00  1.130857128115E+01
  8.100000000000E-04  1.670369947823E+14  1.494580102869E+20  4.157090078886E+01  8.040802879072E-01  1.996203267464E+00  1.139489625276E+01
  8.150000000000E-04  1.616163614388E+14  1.494757788232E+20  4.053588354971E+01  8.060297216144E-01  1.991717815323E+00  1.148122122438E+01
  8.200000000000E-04  1.563495967547E+14  1.494929648376E+20  3.953479821172E+01  8.079597581320E-01  1.987281478044E+00  1.156754619599E+01
  8.250000000000E-04  1.512335098005E+14  1.495095874274E+20  3.856653235486E+01  8.098705904655E-01  1.982894058233E+00  1.165387116760E+01
  8.300000000000E-04  1.462649068870E+14  1.495256650639E+20  3.763001002856E+01  8.117624096995E-01  1.978555364983E+00  1.174019613921E+01
  8.350000000000E-04  1.414405970193E+14  1.495412156128E+20  3.672419055611E+01  8.136354050176E-01  1.974265213277E+00  1.182652111082E+01
  8.400000000000E-04  1.367573969401E+14  1.495562563540E+20  3.584806737822E+01  8.154897637210E-01  1.970023423390E+00  1.191284608244E+01
